crop_id,crop_name_en,fao_crop_label,p_value,p_basis,condition,source_url
1,Paddy rice,Rice,0.20,saturation,FAO rice footnote says 0.20 of saturation; not the usual TAW basis,https://www.fao.org/4/x0490e/x0490e0e.htm
2,Corn,Maize field grain,0.55,TAW,Field corn; reference ETc approximately 5 mm/day,https://www.fao.org/4/x0490e/x0490e0e.htm
2,Corn,Maize sweet,0.50,TAW,Sweet corn; reference ETc approximately 5 mm/day,https://www.fao.org/4/x0490e/x0490e0e.htm
3,Sweet potato,Sweet Potato,0.65,TAW,Reference ETc approximately 5 mm/day,https://www.fao.org/4/x0490e/x0490e0e.htm
5,Sugarcane,Sugar Cane,0.65,TAW,Reference ETc approximately 5 mm/day,https://www.fao.org/4/x0490e/x0490e0e.htm
9,Rubber,Rubber Trees,0.40,TAW,Reference ETc approximately 5 mm/day,https://www.fao.org/4/x0490e/x0490e0e.htm
19,Eggplant,Egg Plant,0.45,TAW,Reference ETc approximately 5 mm/day,https://www.fao.org/4/x0490e/x0490e0e.htm
21,Onion,Onions dry or green,0.30,TAW,Onion seed crop differs at 0.35; reference ETc approximately 5 mm/day,https://www.fao.org/4/x0490e/x0490e0e.htm
23,Pumpkin,Pumpkin Winter Squash,0.35,TAW,Reference ETc approximately 5 mm/day,https://www.fao.org/4/x0490e/x0490e0e.htm
25,Cucumber,Cucumber fresh market or machine harvest,0.50,TAW,Both FAO cucumber variants share 0.50; reference ETc approximately 5 mm/day,https://www.fao.org/4/x0490e/x0490e0e.htm
28,Banana,Banana first or second year,0.35,TAW,Both FAO banana years share 0.35; reference ETc approximately 5 mm/day,https://www.fao.org/4/x0490e/x0490e0e.htm
